sample_id,srr
AdultAdrenalGland_1,SRR11301260
AdultAdrenalGland_2,SRR11301261
AdultAdrenalGland_3,SRR11301262
AdultBladder_1,SRR6954498
AdultBoneMarrow_1,SRR6954503
AdultBoneMarrow_4,SRR6954504
AdultBoneMarrow_5,SRR6954505
AdultBoneMarrowcKit_1,SRR6954506
AdultBoneMarrowcKit_2,SRR6954507
AdultBoneMarrowcKit_3,SRR6954508
AdultBrain_1,SRR6954510
AdultBrain_2,SRR6954511
AdultMammaryGlandInvolution_1,SRR6954501
AdultMammaryGlandInvolution_2,SRR6954502
AdultOmentum_1,SRR11301270
AdultOmentum_2,SRR11301271
AdultOmentum_3,SRR11301272
AdultPleura_1,SRR11301263
AdultPleura_2,SRR11301264
AdultProstate_1,SRR6954499
AdultProstate_2,SRR6954500
AdultStomach_1,SRR14878898
AdultStomach_2,SRR14878899
FetalBrain_1,SRR6954520
FetalEmbryonicMesenchyme_1,SRR6954517
FetalEmbryonicStemCells_1,SRR6954518
FetalFemaleGonad_1,SRR6954521
FetalHeart_1,SRR14878837
FetalHeart_2,SRR14878838
FetalIntestine_1,SRR6954522
FetalKidney_1,SRR6954523
FetalKidney_2,SRR6954524
FetalLiver_1,SRR6954525
FetalLung_1,SRR6954526
FetalMaleGonad_1,SRR14878900
FetalMaleGonad_2,SRR14878901
FetalPancreas_1,SRR14878883
FetalPancreas_2,SRR14878884
FetalStomach_1,SRR14878891
FetalStomach_2,SRR14878892
Kidney_2,SRR6954530
Liver_1,SRR6954531
Liver_2,SRR6954532
Lung_1,SRR6954533
Lung_2,SRR6954534
Lung_3,SRR6954535
MammaryGlandLactation_1,SRR6954538
MammaryGlandLactation_2,SRR6954539
MammaryGlandPregnancy_1,SRR6954540
MammaryGlandVirgin_1,SRR6954543
MammaryGlandVirgin_2,SRR6954544
MammaryGlandVirgin_3,SRR6954545
MammaryGlandVirgin_4,SRR6954546
MesenchymalStemCells_1,SRR6954547
MesenchymalStemCellsPrimary_1,SRR6954517
Muscle_1,SRR6954548
NeonatalCalvaria_1,SRR6954549
NeonatalCalvaria_2,SRR6954550
NeonatalHeart_1,SRR6954551
NeonatalMuscle_1,SRR6954552
NeonatalMuscle_2,SRR6954553
NeonatalPancreas_1,SRR14878885
NeonatalPancreas_2,SRR14878886
NeonatalRib_1,SRR6954554
NeonatalRib_2,SRR6954555
NeonatalRib_3,SRR6954556
NeonatalSkin_1,SRR6954557
NeontalBrain_1,SRR14878829
NeontalBrain_2,SRR14878830
NeontalBrain_3,SRR14878831
Ovary_1,SRR6954560
Ovary_2,SRR6954561
Pancreas_1,SRR6954562
PeripheralBlood_1,SRR6954563
PeripheralBlood_2,SRR6954564
PeripheralBlood_3,SRR6954565
PeripheralBlood_4,SRR6954566
PeripheralBlood_5,SRR6954567
PeripheralBlood_6,SRR6954568
Placenta_1,SRR6954569
Placenta_2,SRR6954570
SmallIntestine_1,SRR6954572
SmallIntestine_2,SRR6954573
SmallIntestine_3,SRR6954574
Spleen_1,SRR6954575
Testis_1,SRR6954577
Testis_2,SRR6954578
Thymus_1,SRR6954579
Uterus_1,SRR6954582
Uterus_2,SRR6954799